,Actual,Predicted
0,[2.4  3.2  1.37],[2.465397  3.4298782 0.5353251]
1,[2.4  0.8  2.17],[2.669139  1.903395  1.4091934]
2,[1.6  4.   0.57],[2.3062706 4.6231737 1.0671071]
3,[1.6  1.6  1.77],[2.8055725 2.3517437 1.5792303]
4,[4.   1.6  0.97],[3.34321    0.59980035 1.5666668 ]
5,[1.6  0.8  0.77],[2.401813   1.6571147  0.49156424]
6,[0.8  3.2  0.17],[0.7036352 2.1507707 1.8178849]
7,[0.8  0.8  0.17],[0.84418607 0.68801546 1.1763446 ]
8,[3.2  2.4  0.77],[2.7262356 2.2014122 1.1994433]
9,[2.4  2.4  0.17],[2.3133953 3.2831106 1.2668644]
10,[1.6  1.6  1.37],[2.7628427 2.267661  1.3970191]
11,[0.8  4.   0.77],[0.5335953 3.247747  1.4774499]
12,[4.   0.8  1.57],[3.5472271 0.        1.5572562]
13,[4.   0.8  0.97],[3.5300632 0.        1.5252254]
14,[2.4  2.4  1.37],[2.2010818 3.1617122 1.2968702]
15,[2.4  3.2  1.77],[2.784753   3.4314384  0.62587607]
16,[4.   3.2  0.97],[3.9386852  4.6241097  0.80528724]
17,[4.   1.6  2.17],[2.2310905 1.0569732 1.576112 ]
18,[2.4  4.   1.17],[2.3162951  4.734006   0.10606879]
19,[0.8  3.2  0.77],[0.5258713 3.0513544 1.8719792]
20,[1.6  0.8  0.37],[1.0436549 0.7048814 1.3331846]
21,[1.6  3.2  2.17],[2.3644476 2.3297896 1.3572693]
22,[2.4  3.2  1.57],[2.4810462 3.4400923 0.5420829]
23,[3.2  4.   1.77],[3.8847995 4.9891405 0.7407005]
24,[1.6  3.2  0.17],[2.1213517 3.3365135 1.1293056]
25,[4.   4.   1.17],[3.886663   4.9779534  0.74442905]
26,[1.6  2.4  1.57],[1.9587938 3.5151787 1.1006181]
27,[4.   3.2  1.17],[4.0525637 4.4711475 0.8302939]
28,[1.6  0.8  1.17],[1.0293458  0.83938074 1.7756598 ]
29,[2.4  2.4  1.37],[2.1675067 3.2688296 1.2662783]
30,[2.4  0.8  1.97],[2.645655  1.856175  1.3227974]
31,[2.4  3.2  1.57],[2.8747678  3.8116775  0.55872816]
32,[1.6  0.8  0.77],[2.4943366  1.3269604  0.54689205]
33,[2.4  4.   0.37],[2.1533327  4.6407557  0.06003267]
34,[3.2  3.2  1.57],[3.6662376 4.4703064 0.6834562]
35,[0.8  3.2  1.77],[1.0814724 1.9988354 1.8832967]
36,[4.   1.6  0.57],[3.3433125 0.59728   1.5670238]
37,[0.8  0.8  1.97],[1.0590303 0.8761525 1.913597 ]
38,[2.4  2.4  1.17],[1.9476074 3.5806673 1.1735048]
39,[0.8  3.2  2.17],[1.1971912 2.0556865 1.8436115]
40,[3.2  3.2  2.17],[3.7953527 4.0347557 0.8608921]
41,[3.2  4.   1.37],[3.8044925 5.554047  0.5729037]
42,[4.   0.8  0.97],[3.4987173 0.        1.5381814]
43,[0.8  1.6  1.57],[0.6733973 2.3870006 1.3671468]
44,[3.2  1.6  0.57],[2.5365255 2.4738986 1.243501 ]
45,[4.   1.6  0.57],[3.3432114  0.59716177 1.5670378 ]
46,[4.   1.6  1.37],[3.347     0.6069999 1.5642464]
47,[2.4  0.8  0.17],[2.4543371  1.692056   0.48270565]
48,[0.8  0.8  2.17],[1.0108232 0.8342619 1.7483281]
49,[0.8  3.2  2.17],[1.5490489 1.9137415 1.749769 ]
50,[0.8  0.8  0.77],[0.93404555 0.76664686 1.4849255 ]
51,[4.   2.4  0.57],[2.5788474 3.2860322 1.0940495]
52,[0.8  0.8  0.17],[0.8391948 0.6836095 1.1589798]
53,[4.   4.   2.17],[3.8867047 4.978634  0.7441981]
54,[2.4  2.4  0.57],[2.0622644 3.5958605 1.1677673]
55,[2.4  3.2  0.97],[2.1901205 3.1252837 0.8792967]
56,[1.6  4.   0.77],[2.2829683 4.7006044 1.0521604]
57,[2.4  3.2  2.17],[2.2486863 2.7151222 0.9158651]
58,[0.8  4.   1.57],[0.94158554 2.7755     1.5218062 ]
59,[2.4  4.   0.77],[2.7356708  5.2489233  0.15942937]
60,[4.   4.   0.57],[3.8781323 5.0250473 0.7310185]
61,[0.8  3.2  0.97],[0.8159313 2.2745297 1.8359735]
62,[0.8  4.   0.97],[0.4722445 3.592385  1.4279327]
63,[0.8  2.4  0.17],[2.0876713 2.8264549 1.0474408]
64,[0.8  0.8  0.57],[0.9965992 0.8220496 1.6998991]
65,[3.2  0.8  1.37],[3.1996953  0.44219494 1.6729367 ]
66,[3.2  4.   0.57],[3.7560675  5.8151665  0.49013153]
67,[2.4  0.8  1.37],[2.6147609 1.8334544 1.2178309]
68,[0.8  1.6  1.37],[0.7335808 2.623758  1.7052888]
69,[0.8  1.6  0.17],[0.7872796 2.7802799 1.1179477]
70,[3.2  4.   1.97],[3.8701622  5.0821023  0.71260667]
71,[3.2  1.6  1.17],[2.3858056 2.210502  1.3905367]
72,[3.2  3.2  1.77],[3.7044373  4.283476   0.74646145]
73,[3.2  4.   0.57],[3.8087785 5.481806  0.5916785]
74,[3.2  0.8  1.77],[3.16561   0.6042762 1.6335071]
75,[4.   0.8  1.97],[3.529322   0.03070259 1.4438283 ]
76,[3.2  0.8  0.57],[3.2045982 0.4153087 1.6805574]
77,[3.2  4.   0.17],[3.6900284  5.8928595  0.44197994]
78,[0.8  4.   0.37],[0.53879666 3.3060412  1.4661309 ]
79,[1.6  3.2  0.17],[2.1251626 3.2544653 1.168239 ]
80,[2.4  4.   0.37],[2.094524   4.6037974  0.04915506]
81,[2.4  4.   0.97],[2.434796   4.940566   0.10120803]
82,[4.   0.8  0.97],[3.551012  0.        1.5191572]
83,[4.   1.6  0.57],[3.3432722 0.5969286 1.5670582]
84,[2.4  3.2  0.77],[2.3280613 3.280739  0.5965271]
85,[4.   4.   0.17],[3.875361   5.0045404  0.73888266]
86,[2.4  0.8  0.37],[2.4729009  1.7152234  0.45128208]
87,[2.4  4.   1.57],[2.9297924 5.321187  0.2330364]
88,[2.4  0.8  0.97],[2.4635963 1.6998601 0.5841198]
89,[2.4  1.6  1.57],[2.2852035 2.4416234 1.3314638]
90,[4.   3.2  0.97],[3.909681   4.772587   0.77909625]
91,[2.4  0.8  0.97],[2.4698706  1.7040535  0.57137704]
92,[1.6  0.8  0.17],[2.446049   1.7039618  0.40737212]
93,[0.8  2.4  1.77],[0.6024804 2.175264  1.3581109]
94,[4.   4.   1.17],[3.8866675  4.9784145  0.74428403]
95,[2.4  0.8  1.37],[2.6010447 1.813924  1.168855 ]
96,[0.8  1.6  0.97],[0.63716006 2.3816721  1.2498622 ]
97,[2.4  3.2  0.17],[2.1775136  3.1216285  0.83684325]
98,[2.4  4.   1.97],[3.7100513 4.986964  0.6255207]
99,[1.6  0.8  2.17],[1.1538348 0.927418  2.124217 ]
100,[1.6  4.   0.37],[2.2846599 4.6938396 1.0589191]
101,[3.2  1.6  0.57],[4.0247393 1.3249756 1.1164703]
102,[0.8  4.   0.37],[0.47289586 3.6384244  1.4309591 ]
103,[2.4  3.2  1.37],[2.4749136 3.4416385 0.5185759]
104,[0.8  1.6  0.37],[0.6191752 2.3785663 1.2014984]
105,[0.8  0.8  0.97],[1.0182459 0.8402908 1.7736402]
106,[0.8  3.2  0.17],[0.7448406 2.017224  1.8109233]
107,[2.4  3.2  0.77],[2.3205328 3.2808318 0.562323 ]
108,[3.2  1.6  0.57],[3.0504687 1.8722463 1.2705967]
109,[4.   3.2  1.17],[4.047011  4.4677067 0.8312664]
110,[3.2  3.2  1.37],[3.8057003 3.4492097 0.9816678]
111,[4.   1.6  1.97],[1.6409787 1.1755221 1.692021 ]
112,[2.4  3.2  0.17],[2.1726036 3.11349   0.8986164]
113,[1.6  0.8  1.17],[1.032321  0.8453996 1.7959087]
114,[3.2  4.   0.37],[3.714585   6.13803    0.39613461]
115,[4.   1.6  0.17],[3.3434935 0.6010871 1.5664084]
116,[3.2  4.   0.17],[3.695489  5.8955774 0.4438334]
117,[4.   2.4  0.17],[0.50575113 2.0893726  1.6800866 ]
118,[0.8  4.   1.17],[0.5327766 3.1494513 1.4962559]
119,[0.8  0.8  1.57],[1.0309124  0.85134983 1.817062  ]
120,[0.8  0.8  1.57],[0.99587893 0.82065916 1.696899  ]
121,[0.8  2.4  0.17],[1.5596266 2.76651   1.1387503]
122,[3.2  2.4  1.57],[2.8831718 3.37985   0.9947302]
123,[1.6  1.6  0.57],[2.3675618  2.8916588  0.62806666]
124,[4.   1.6  1.77],[1.5130754 1.6503875 1.8505182]
125,[0.8  0.8  0.57],[0.9310913  0.76419497 1.4748809 ]
126,[3.2  0.8  1.37],[3.2012324  0.43997288 1.6710615 ]
127,[4.   1.6  1.97],[1.3990164 1.091691  1.7855086]
128,[1.6  3.2  0.17],[2.1232786 3.2188432 1.2099694]
129,[2.4  1.6  1.17],[2.1721945 3.0977876 1.0187156]
130,[2.4  2.4  1.37],[2.1905322 3.1932259 1.2885873]
131,[1.6  0.8  0.37],[0.9727931 0.7483058 1.4426613]
132,[0.8  0.8  1.57],[0.99775076 0.8222852  1.7033122 ]
133,[3.2  3.2  1.57],[3.6455283  4.605874   0.64228266]
134,[3.2  3.2  2.17],[3.8128853  4.064105   0.86824054]
135,[0.8  2.4  1.77],[0.53249145 2.1547976  1.6332264 ]
136,[4.   1.6  0.57],[3.343278  0.596966  1.5670655]
137,[3.2  3.2  0.57],[2.2654464 4.7583523 1.0498582]
138,[4.   0.8  2.17],[2.2897086 1.3968304 1.5667789]
139,[4.   1.6  0.97],[3.34324   0.6018441 1.5663507]
140,[2.4  1.6  1.57],[2.3043861 2.3674517 1.4097432]
141,[1.6  3.2  1.37],[1.9487686 3.8712802 1.0185832]
142,[3.2  3.2  1.77],[3.6804624 4.417884  0.7031245]
143,[0.8  4.   1.17],[0.5052757 3.2976384 1.4686812]
144,[1.6  4.   1.17],[2.3157082 4.5705237 1.0810153]
145,[0.8  0.8  1.57],[1.0265329 0.8475003 1.8020314]
146,[4.   4.   1.57],[3.8863776  4.9806075  0.74362814]
147,[1.6  1.6  0.77],[2.413073   2.6963787  0.79158086]
148,[2.4  4.   0.97],[2.5003722  4.967799   0.12393475]
149,[1.6  0.8  0.17],[2.4649     1.6526833  0.41191941]
150,[4.   1.6  0.77],[3.3445854 0.6126518 1.5638497]
151,[2.4  1.6  2.17],[2.3273513 2.2696495 1.5624883]
152,[4.   0.8  1.57],[3.506574  0.        1.5602492]
153,[2.4  2.4  0.77],[2.2309258 3.3057418 1.2605776]
154,[1.6  2.4  1.37],[1.9540247 3.5340004 1.0787696]
155,[2.4  1.6  2.17],[2.3687506 1.9886084 1.6495748]
156,[1.6  1.6  0.17],[2.247202   3.2869098  0.47684488]
157,[1.6  1.6  0.37],[2.3989215  2.8033102  0.61565405]
158,[3.2  2.4  1.97],[3.673255  3.567421  0.9588638]
159,[0.8  2.4  1.37],[0.4659319 2.3107104 1.7682662]
160,[0.8  2.4  1.37],[0.4091115 2.390718  1.6524884]
161,[1.6  3.2  0.17],[2.055066  3.4675107 1.1493977]
162,[1.6  1.6  1.17],[2.628159  2.1187677 1.4625365]
163,[2.4  4.   1.57],[2.972388   5.4146366  0.23020983]
164,[2.4  1.6  0.57],[2.1868124  3.0173836  0.93584794]
165,[0.8  1.6  0.97],[0.6356089 2.4121413 1.2499498]
166,[0.8  3.2  1.97],[2.0937023 1.3643409 1.7540617]
167,[1.6  2.4  1.37],[2.199268  2.6559517 1.3021162]
168,[0.8  3.2  0.97],[1.0101051 2.1164594 1.8086107]
169,[1.6  0.8  2.17],[1.1965241  0.90770507 2.0848856 ]
170,[0.8  3.2  0.17],[0.7266195 2.087667  1.8183753]
171,[4.   2.4  1.77],[3.6271904 3.1204407 0.8802718]
172,[3.2  0.8  1.57],[3.125362  0.8548093 1.5974723]
173,[2.4  0.8  1.57],[2.614552  1.8999226 1.2297149]
174,[0.8  3.2  1.97],[2.3421392 1.210524  1.7168397]
175,[1.6  4.   1.17],[2.3059034 4.6067    1.0741947]
176,[4.   1.6  1.57],[3.0081363 0.8307315 1.6113058]
177,[1.6  0.8  1.57],[1.1262548  0.89537764 2.0126925 ]
178,[3.2  4.   2.17],[3.8034773 5.5593824 0.5711504]
179,[1.6  1.6  1.57],[2.6818304 2.09965   1.6757632]
180,[2.4  0.8  1.57],[2.6209755 1.8622825 1.2444676]
181,[3.2  1.6  1.57],[2.276764  2.9138944 1.2070881]
182,[0.8  0.8  2.17],[0.9519291  0.78512764 1.5472691 ]
183,[1.6  3.2  0.57],[2.1069016 3.3429282 1.1295282]
184,[2.4  2.4  1.57],[2.0833158 3.4987528 1.1992443]
185,[1.6  4.   1.57],[2.2866213 4.6541276 1.0686649]
186,[2.4  1.6  1.77],[2.309813  2.6582546 1.460586 ]
187,[1.6  4.   1.97],[2.3559985 4.3385825 1.1474948]
188,[0.8  4.   0.77],[0.54300666 3.2780855  1.4655082 ]
189,[2.4  0.8  0.77],[2.5377967 1.7632859 0.9434666]
190,[2.4  4.   1.17],[2.1759431  4.6345253  0.07484019]
191,[4.   0.8  1.97],[3.5444763 0.        1.4516504]
192,[2.4  3.2  0.17],[2.2068021 3.1514432 0.8061161]
193,[4.   4.   0.77],[3.8842661 4.983984  0.7431585]
194,[2.4  0.8  1.57],[2.597021  1.9088775 1.1734923]
195,[1.6  4.   0.37],[2.2847373 4.691703  1.0590763]
196,[2.4  4.   0.57],[2.2288356  4.726671   0.06183189]
197,[1.6  2.4  0.17],[2.4648685 3.320435  0.7979041]
198,[2.4  1.6  1.57],[2.3344407 2.212922  1.3236614]
199,[0.8  3.2  1.17],[0.65166855 2.4840374  1.921803  ]
200,[4.   4.   0.97],[3.8862436  4.9816065  0.74332964]
201,[0.8  3.2  1.17],[0.95195603 2.2041166  1.9011673 ]
202,[4.   1.6  0.97],[3.3405619 0.6036954 1.5666943]
203,[4.   3.2  0.37],[4.108967  3.869471  0.9299903]
204,[4.   2.4  1.77],[3.6965601 3.129736  0.8709878]
205,[0.8  2.4  0.37],[1.202954  3.0927584 1.1896384]
206,[4.   0.8  1.77],[3.4462109 0.7474189 1.2760354]
207,[3.2  2.4  1.57],[3.3120787  3.689003   0.95677006]
208,[4.   3.2  0.57],[3.918488  4.354393  0.8494373]
209,[1.6  2.4  1.37],[2.1057506 3.030366  1.2201437]
210,[1.6  4.   0.97],[2.3024344 4.6457577 1.0664084]
211,[4.   2.4  0.77],[1.9957342 2.8873065 1.1044307]
212,[3.2  4.   2.17],[3.8006098  5.57882    0.56532276]
213,[3.2  3.2  1.37],[3.8072367 3.4456298 0.9834763]
214,[2.4  0.8  2.17],[2.6655056 1.9294274 1.4025949]
215,[1.6  4.   2.17],[2.407836  4.05243   1.2198496]
216,[3.2  1.6  1.77],[2.2200992 3.1126182 1.1518012]
217,[4.   1.6  1.77],[1.6537768 1.5662903 1.829103 ]
218,[1.6  3.2  1.17],[2.1683238 3.2711768 1.1145023]
219,[2.4  4.   1.57],[2.9178445  5.364335   0.21700633]
220,[0.8  3.2  1.37],[0.6114385 2.5587587 1.9218285]
221,[2.4  0.8  1.57],[2.5713408 1.859359  1.0795054]
222,[0.8  4.   1.37],[0.54363966 3.0709472  1.5206344 ]
223,[1.6  4.   0.17],[2.2964501 4.6472554 1.0635927]
224,[2.4  2.4  0.17],[2.4096227 3.4804084 1.2109464]
225,[1.6  3.2  1.77],[2.1625142 3.1490574 1.1691499]
226,[1.6  4.   2.17],[2.5173352 3.6920946 1.289917 ]
227,[4.   2.4  0.17],[0.43664837 2.1358266  1.6531408 ]
228,[1.6  1.6  1.97],[2.0529928 2.4580822 1.5968126]
229,[1.6  2.4  0.97],[2.576498  2.1189022 1.2290535]
230,[3.2  4.   0.17],[3.5966952 5.8240204 0.4154802]
231,[4.   2.4  0.97],[1.8444346 2.5193968 1.0846133]
232,[4.   1.6  1.57],[2.6717908 1.01817   1.6639555]
233,[2.4  0.8  2.17],[2.6762316 1.8796172 1.4221251]
234,[2.4  1.6  0.97],[2.2094822 2.8209178 1.1266237]
235,[0.8  2.4  0.97],[1.0786514 2.1126628 1.416455 ]
236,[0.8  4.   1.97],[1.7296052 1.9785497 1.5796776]
237,[1.6  4.   1.17],[2.2928958 4.6314197 1.0703094]
238,[3.2  3.2  1.57],[3.6499465 4.609979  0.6448643]
239,[1.6  1.6  1.97],[2.7997975 2.2463536 1.5390804]
240,[0.8  4.   0.77],[0.50347614 3.5117283  1.4449096 ]
241,[0.8  0.8  0.17],[0.83984375 0.6841769  1.1612147 ]
242,[4.   3.2  1.37],[3.9588838 4.290243  0.8582097]
243,[4.   0.8  1.17],[3.561164  0.        1.5293568]
244,[2.4  3.2  0.57],[2.225551  3.1746778 0.7220008]
245,[0.8  4.   0.77],[0.51335955 3.3697119  1.4415264 ]
246,[4.   3.2  0.57],[4.0449023  4.138054   0.88943803]
247,[1.6  2.4  1.97],[2.427144  1.818903  1.5035477]
248,[3.2  4.   0.57],[3.8101752  5.4303403  0.60428977]
249,[3.2  2.4  0.37],[2.462117  1.7763324 1.498482 ]
250,[0.8  2.4  1.37],[0.37942052 2.4123826  1.5927256 ]
251,[1.6  2.4  0.57],[2.1661463  3.1496007  0.89480436]
252,[3.2  1.6  2.17],[2.0961757 3.4297926 1.2037565]
